journal,article_number,sentence,victim_descriptions,shooter_descriptions,sentiment,descriptions,cluster
CNN,1,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said.", 14 people | 14 people | 14 people injure | shooting | students,suspect,-0.05,14 people,18
CNN,1,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said.", 14 people | 14 people | 14 people injure | shooting | students,suspect,-0.05,14 people injure,18
CNN,1,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said.", 14 people | 14 people | 14 people injure | shooting | students,suspect,-0.05,shooting,2
CNN,1,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said.", 14 people | 14 people | 14 people injure | shooting | students,suspect,-0.05,students,5
CNN,1,"The hospital received 13 children at their facility who were being treated for varying injuries, he said.", 13 children | 13 children,,0.0,13 children,1
CNN,2,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left at least two dead and injured more than a dozen others, including students, authorities said.",dozen others injure | more than a dozen others | shooting | students,suspect,0.06,dozen others injure,18
CNN,2,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left at least two dead and injured more than a dozen others, including students, authorities said.",dozen others injure | more than a dozen others | shooting | students,suspect,0.06,more than a dozen others,18
CNN,2,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left at least two dead and injured more than a dozen others, including students, authorities said.",dozen others injure | more than a dozen others | shooting | students,suspect,0.06,shooting,2
CNN,2,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left at least two dead and injured more than a dozen others, including students, authorities said.",dozen others injure | more than a dozen others | shooting | students,suspect,0.06,students,5
CNN,2,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.", 13 children | 13 children | Two people | shooting,,0.0,13 children,1
CNN,2,"Two people died in the school shooting, and the hospital received 13 children who were being treated for various injuries, said Tom Nordwick, a spokesperson from Uvalde Memorial Hospital.", 13 children | 13 children | Two people | shooting,,0.0,two people,8
